Aasiaalli	Aasiaat+LI
Paamiormiuuvungalu	Paamiut+MIU-U+vuŋa+LU
Paamiulli	Paamiut+LI
Paamiullu	Paamiut+LU
Paamiut	Paamiut
Per	Per
Pereqarpoq	Per-QAR+vuq
Pereqarporli	Per-QAR+vuq+LI
Pereqarporlu	Per-QAR+vuq+LU
Pereqassavoq	Per-QAR-SSA+vuq
Pereqassavorli	Per-QAR-SSA+vuq+LI
Pereqassavorlu	Per-QAR-SSA+vuq+LU
Perili	Per+LI
Perilu	Per+LU
Perimi	Per-mi
Perimik	Per-mik
Perimili	Per-mi+LI
Perimilli	Per-mik+LI
Perimillu	Per-mik+LU
Perimilu	Per-mi+LU
Periussavunga	Per-U-SSA+vuŋa
Periuvoq	Per-U+vuq
Periuvorli	Per-U+vuq+LI
Periuvorlu	Per-U+vuq+LU
Periuvunga	Per-U+vuŋa
Periuvungali	Per-U+vuŋa+LI
Qaqortoq	Qaqortoq
Qaqortorli	Qaqortoq+LI
Qaqortorlu	Qaqortoq+LU
Qaqortormioqarpoq	Qaqortoq+MIU-QAR+vuq
Qaqortormioqarporli	Qaqortoq+MIU-QAR+vuq+LI
Qaqortormioqarporlu	Qaqortoq+MIU-QAR+vuq+LU
Qaqortormioqassavoq	Qaqortoq+MIU-QAR-SSA+vuq
Qaqortormioqassavorli	Qaqortoq+MIU-QAR-SSA+vuq+LI
Qaqortormioqassavorlu	Qaqortoq+MIU-QAR-SSA+vuq+LU
Qaqortormiu	Qaqortoq+MIU
Qaqortormiuli	Qaqortoq+MIU+LI
Qaqortormiulu	Qaqortoq+MIU+LU
Qaqortormiumi	Qaqortoq+MIU-mi
Qaqortormiumik	Qaqortoq+MIU-mik
Qaqortormiumillu	Qaqortoq+MIU-mik+LU
Qaqortormiumilu	Qaqortoq+MIU-mi+LU
Qaqortormiuussavoq	Qaqortoq+MIU-U-SSA+vuq
Qaqortormiuussavunga	Qaqortoq+MIU-U-SSA+vuŋa
Qaqortormiuussavungali	Qaqortoq+MIU-U-SSA+vuŋa+LI
Qaqortormiuussavungalu	Qaqortoq+MIU-U-SSA+vuŋa+LU
Qaqortormiuuvoq	Qaqortoq+MIU-U+vuq
Qaqortormiuuvorli	Qaqortoq+MIU-U+vuq+LI
Qaqortormiuuvorlu	Qaqortoq+MIU-U+vuq+LU
Qaqortormiuuvunga	Qaqortoq+MIU-U+vuŋa
Qaqortormiuuvungali	Qaqortoq+MIU-U+vuŋa+LI
Qaqortormiuuvungalu	Qaqortoq+MIU-U+vuŋa+LU
Qaqortumi	Qaqortoq-mi
Qaqortumik	Qaqortoq-mik
Qaqortumili	Qaqortoq-mi+LI
Qaqortumilli	Qaqortoq-mik+LI
Qaqortumillu	Qaqortoq-mik+LU
Qaqortumilu	Qaqortoq-mi+LU
Qasigiannguarmioqarpoq	Qasigiannguit+MIU-QAR+vuq
Qasigiannguarmioqarporli	Qasigiannguit+MIU-QAR+vuq+LI
Qasigiannguarmioqarporlu	Qasigiannguit+MIU-QAR+vuq+LU
Qasigiannguarmioqassavoq	Qasigiannguit+MIU-QAR-SSA+vuq
Qasigiannguarmioqassavorli	Qasigiannguit+MIU-QAR-SSA+vuq+LI
Qasigiannguarmioqassavorlu	Qasigiannguit+MIU-QAR-SSA+vuq+LU
Qasigiannguarmiu	Qasigiannguit+MIU
Qasigiannguarmiuli	Qasigiannguit+MIU+LI
Qasigiannguarmiumi	Qasigiannguit+MIU-mi
Qasigiannguarmiumik	Qasigiannguit+MIU-mik
Qasigiannguarmiumili	Qasigiannguit+MIU-mi+LI
Qasigiannguarmiumilli	Qasigiannguit+MIU-mik+LI
Qasigiannguarmiumillu	Qasigiannguit+MIU-mik+LU
Qasigiannguarmiumilu	Qasigiannguit+MIU-mi+LU
Qasigiannguarmiuussavorli	Qasigiannguit+MIU-U-SSA+vuq+LI
Qasigiannguarmiuussavorlu	Qasigiannguit+MIU-U-SSA+vuq+LU
Qasigiannguarmiuussavunga	Qasigiannguit+MIU-U-SSA+vuŋa
Qasigiannguarmiuussavungali	Qasigiannguit+MIU-U-SSA+vuŋa+LI
Qasigiannguarmiuussavungalu	Qasigiannguit+MIU-U-SSA+vuŋa+LU
Qasigiannguarmiuuvoq	Qasigiannguit+MIU-U+vuq
Qasigiannguarmiuuvorli	Qasigiannguit+MIU-U+vuq+LI
Qasigiannguarmiuuvorlu	Qasigiannguit+MIU-U+vuq+LU
Qasigiannguarmiuuvunga	Qasigiannguit+MIU-U+vuŋa
Qasigiannguarmiuuvungali	Qasigiannguit+MIU-U+vuŋa+LI
Qasigiannguarmiuuvungalu	Qasigiannguit+MIU-U+vuŋa+LU
Qasigiannguilli	Qasigiannguit+LI
Qasigiannguillu	Qasigiannguit+LU
Qasigiannguit	Qasigiannguit
Qasigiannguussavoq	Qasigiannguit+MIU-U-SSA+vuq
Qasigiannguussavorli	Qasigiannguit-U-SSA+vuq+LI
Qasigiannguussavorlu	Qasigiannguit-U-SSA+vuq+LU
Qasigiannguuvoq	Qasigiannguit-U+vuq
Qasigiannguuvorli	Qasigiannguit-U+vuq+LI
Qasigiannguuvorlu	Qasigiannguit-U+vuq+LU
Qeqertarsuaq	Qeqertarsuaq
Qeqertarsuarli	Qeqertarsuaq+LI
Qeqertarsuarlu	Qeqertarsuaq+LU
Qeqertarsuarmi	Qeqertarsuaq+mi
Qeqertarsuarmik	Qeqertarsuaq+mik
Qeqertarsuarmili	Qeqertarsuaq+mi+LI
Qeqertarsuarmilli	Qeqertarsuaq+mik+LI
Qeqertarsuarmillu	Qeqertarsuaq+mik+LU
Qeqertarsuarmilu	Qeqertarsuaq+mi+LU
Qeqertarsuarmioqarpoq	Qeqertarsuaq+MIU-QAR+vuq
Qeqertarsuarmioqarporli	Qeqertarsuaq+MIU-QAR+vuq+LI
Qeqertarsuarmioqarporlu	Qeqertarsuaq+MIU-QAR+vuq+LU
Qeqertarsuarmioqassavoq	Qeqertarsuaq+MIU-QAR-SSA+vuq
Qeqertarsuarmioqassavorli	Qeqertarsuaq+MIU-QAR-SSA+vuq+LI
Qeqertarsuarmioqassavorlu	Qeqertarsuaq+MIU-QAR-SSA+vuq+LU
Qeqertarsuarmiu	Qeqertarsuaq+MIU
Qeqertarsuarmiuli	Qeqertarsuaq+MIU+LI
Qeqertarsuarmiulu	Qeqertarsuaq+MIU+LU
Qeqertarsuarmiumi	Qeqertarsuaq+MIU-mi
Qeqertarsuarmiumik	Qeqertarsuaq+MIU-mik
Qeqertarsuarmiumili	Qeqertarsuaq+MIU-mi+LI
Qeqertarsuarmiumillu	Qeqertarsuaq+MIU-mik+LU
Qeqertarsuarmiuussavoq	Qeqertarsuaq+MIU-U-SSA+vuq
Qeqertarsuarmiuussavorli	Qeqertarsuaq+MIU-U-SSA+vuq+LI
Qeqertarsuarmiuussavorlu	Qeqertarsuaq+MIU-U-SSA+vuq+LU
Qeqertarsuarmiuussavunga	Qeqertarsuaq+MIU-U-SSA+vuŋa
Qeqertarsuarmiuussavungali	Qeqertarsuaq+MIU-U-SSA+vuŋa+LI
Qeqertarsuarmiuussavungalu	Qeqertarsuaq+MIU-U-SSA+vuŋa+LU
Qeqertarsuarmiuuvoq	Qeqertarsuaq+MIU-U+vuq
Qeqertarsuarmiuuvorli	Qeqertarsuaq+MIU-U+vuq+LI
Qeqertarsuarmiuuvorlu	Qeqertarsuaq+MIU-U+vuq+LU
Qeqertarsuarmiuuvunga	Qeqertarsuaq+MIU-U+vuŋa
Qeqertarsuarmiuuvungali	Qeqertarsuaq+MIU-U+vuŋa+LI
Sisimiormioqarpoq	Sisimiut+MIU-QAR+vuq
Sisimiormioqarporli	Sisimiut+MIU-QAR+vuq+LI
Sisimiormioqarporlu	Sisimiut+MIU-QAR+vuq+LU
Sisimiormioqassavoq	Sisimiut+MIU-QAR-SSA+vuq
Sisimiormioqassavorli	Sisimiut+MIU-QAR-SSA+vuq+LI
Sisimiormioqassavorlu	Sisimiut+MIU-QAR-SSA+vuq+LU
Sisimiormiu	Sisimiut+MIU
Sisimiormiuli	Sisimiut+MIU+LI
Sisimiormiulu	Sisimiut+MIU+LU
Sisimiormiumi	Sisimiut+MIU-mi
Sisimiormiumik	Sisimiut+MIU-mik
Sisimiormiumili	Sisimiut+MIU-mi+LI
Sisimiormiumilli	Sisimiut+MIU-mik+LI
Sisimiormiumillu	Sisimiut+MIU-mik+LU
Sisimiormiumilu	Sisimiut+MIU-mi+LU
Sisimiormiuussavoq	Sisimiut+MIU-U-SSA+vuq
Sisimiormiuussavorli	Sisimiut+MIU-U-SSA+vuq+LI
Sisimiormiuussavorlu	Sisimiut+MIU-U-SSA+vuq+LU
Sisimiormiuussavunga	Sisimiut+MIU-U-SSA+vuŋa
Sisimiormiuussavungali	Sisimiut+MIU-U-SSA+vuŋa+LI
Sisimiormiuussavungalu	Sisimiut+MIU-U-SSA+vuŋa+LU
Sisimiormiuuvoq	Sisimiut+MIU-U+vuq
Sisimiormiuuvorli	Sisimiut+MIU-U+vuq+LI
Sisimiormiuuvorlu	Sisimiut+MIU-U+vuq+LU
Sisimiormiuuvunga	Sisimiut+MIU-U+vuŋa
Sisimiormiuuvungali	Sisimiut+MIU-U+vuŋa+LI
Sisimiormiuuvungalu	Sisimiut+MIU-U+vuŋa+LU
Sisimiulli	Sisimiut+LI
Sisimiullu	Sisimiut+LU
Sisimiut	Sisimiut
Tasiilami	Tasiilaq-mi
Tasiilamik	Tasiilaq-mik
Tasiilamili	Tasiilaq-mi+LI
Tasiilamilli	Tasiilaq-mik+LI
Tasiilamillu	Tasiilaq-mik+LU
Tasiilamilu	Tasiilaq-mi+LU
Tasiilaq	Tasiilaq
Tasiilarli	Tasiilaq+LI
Tasiilarlu	Tasiilaq+LU
Tasiilarmioqarpoq	Tasiilaq+MIU-QAR+vuq
Tasiilarmioqarporli	Tasiilaq+MIU-QAR+vuq+LI
Tasiilarmioqarporlu	Tasiilaq+MIU-QAR+vuq+LU
Tasiilarmioqassavoq	Tasiilaq+MIU-QAR-SSA+vuq
Tasiilarmioqassavorli	Tasiilaq+MIU-QAR-SSA+vuq+LI
Tasiilarmioqassavorlu	Tasiilaq+MIU-QAR-SSA+vuq+LU
Tasiilarmiu	Tasiilaq+MIU
Tasiilarmiuli	Tasiilaq+MIU+LI
Tasiilarmiulu	Tasiilaq+MIU+LU
Tasiilarmiumi	Tasiilaq+MIU-mi
Tasiilarmiumik	Tasiilaq+MIU-mik
Tasiilarmiumili	Tasiilaq+MIU-mi+LI
Tasiilarmiumilli	Tasiilaq+MIU-mik+LI
Tasiilarmiumilu	Tasiilaq+MIU-mi+LU
Tasiilarmiuussavoq	Tasiilaq+MIU-U-SSA+vuq
Tasiilarmiuussavorli	Tasiilaq+MIU-U-SSA+vuq+LI
Tasiilarmiuussavorlu	Tasiilaq+MIU-U-SSA+vuq+LU
Tasiilarmiuussavunga	Tasiilaq+MIU-U-SSA+vuŋa
Tasiilarmiuussavungali	Tasiilaq+MIU-U-SSA+vuŋa+LI
Tasiilarmiuussavungalu	Tasiilaq+MIU-U-SSA+vuŋa+LU
Tasiilarmiuuvoq	Tasiilaq+MIU-U+vuq
Tasiilarmiuuvorli	Tasiilaq+MIU-U+vuq+LI
Tasiilarmiuuvorlu	Tasiilaq+MIU-U+vuq+LU
Tasiilarmiuuvunga	Tasiilaq+MIU-U+vuŋa
Tasiilarmiuuvungali	Tasiilaq+MIU-U+vuŋa+LI
Tasiilarmiuuvungalu	Tasiilaq+MIU-U+vuŋa+LU
Tika	Tika
Tikaassavoq	Tika-U-SSA+vuq
Tikaassavorli	Tika-U-SSA+vuq+LI
Tikaassavorlu	Tika-U-SSA+vuq+LU
Tikaassavunga	Tika-U-SSA+vuŋa
Tikaassavungali	Tika-U-SSA+vuŋa+LI
Tikaassavungalu	Tika-U-SSA+vuŋa+LU
Tikaavoq	Tika-U+vuq
Tikaavorli	Tika-U+vuq+LI
Tikaavorlu	Tika-U+vuq+LU
Tikaavunga	Tika-U+vuŋa
Tikaavungali	Tika-U+vuŋa+LI
Tikaavungalu	Tika-U+vuŋa+LU
Tikali	Tika+LI
Tikalu	Tika+LU
Tikami	Tika-mi
Tikamik	Tika-mik
Tikamili	Tika-mi+LI
Tikamilli	Tika-mik+LI
Tikamillu	Tika-mik+LU
Tikamilu	Tika-mi+LU
Tikaqarpoq	Tika-QAR+vuq
Tikaqarporli	Tika-QAR+vuq+LI
Tikaqarporlu	Tika-QAR+vuq+LU
Tikaqassavorli	Tika-QAR-SSA+vuq+LI
Tikaqassavorlu	Tika-QAR-SSA+vuq+LU
Upernavik	Upernavik
Upernavilli	Upernavik+LI
Upernavillu	Upernavik+LU
Upernavimmi	Upernavik+mi
Upernavimmik	Upernavik+mik
Upernavimmili	Upernavik+mi+LI
Upernavimmilli	Upernavik+mik+LI
Upernavimmillu	Upernavik+mik+LU
Upernavimmilu	Upernavik+mi+LU
Upernavimmioqarpoq	Upernavik+MIU-QAR+vuq
Upernavimmioqarporli	Upernavik+MIU-QAR+vuq+LI
Upernavimmioqarporlu	Upernavik+MIU-QAR+vuq+LU
Upernavimmioqassavoq	Upernavik+MIU-QAR-SSA+vuq
Upernavimmioqassavorli	Upernavik+MIU-QAR-SSA+vuq+LI
Upernavimmioqassavorlu	Upernavik+MIU-QAR-SSA+vuq+LU
Upernavimmiu	Upernavik+MIU
Upernavimmiuli	Upernavik+MIU+LI
Upernavimmiulu	Upernavik+MIU+LU
Upernavimmiumi	Upernavik+MIU-mi
Upernavimmiumik	Upernavik+MIU-mik
Upernavimmiumili	Upernavik+MIU-mi+LI
Upernavimmiumilli	Upernavik+MIU-mik+LI
Upernavimmiumillu	Upernavik+MIU-mik+LU
Upernavimmiuussavoq	Upernavik+MIU-U-SSA+vuq
Upernavimmiuussavorli	Upernavik+MIU-U-SSA+vuq+LI
Upernavimmiuussavorlu	Upernavik+MIU-U-SSA+vuq+LU
Upernavimmiuussavunga	Upernavik+MIU-U-SSA+vuŋa
Upernavimmiuussavungali	Upernavik+MIU-U-SSA+vuŋa+LI
Upernavimmiuussavungalu	Upernavik+MIU-U-SSA+vuŋa+LU
Upernavimmiuuvoq	Upernavik+MIU-U+vuq
Upernavimmiuuvorli	Upernavik+MIU-U+vuq+LI
Upernavimmiuuvorlu	Upernavik+MIU-U+vuq+LU
Upernavimmiuuvunga	Upernavik+MIU-U+vuŋa
Upernavimmiuuvungali	Upernavik+MIU-U+vuŋa+LI
Upernavimmiuuvungalu	Upernavik+MIU-U+vuŋa+LU
Uummannami	Uummannaq-mi
Uummannamik	Uummannaq-mik
Uummannamili	Uummannaq-mi+LI
Uummannamilli	Uummannaq-mik+LI
Uummannamillu	Uummannaq-mik+LU
Uummannamilu	Uummannaq-mi+LU
Uummannaq	Uummannaq
Uummannarli	Uummannaq+LI
Uummannarlu	Uummannaq+LU
Uummannarmioqarpoq	Uummannaq+MIU-QAR+vuq
Uummannarmioqarporli	Uummannaq+MIU-QAR+vuq+LI
Uummannarmioqarporlu	Uummannaq+MIU-QAR+vuq+LU
Uummannarmioqassavoq	Uummannaq+MIU-QAR-SSA+vuq
Uummannarmioqassavorli	Uummannaq+MIU-QAR-SSA+vuq+LI
Uummannarmioqassavorlu	Uummannaq+MIU-QAR-SSA+vuq+LU
Uummannarmiu	Uummannaq+MIU
Uummannarmiuli	Uummannaq+MIU+LI
Uummannarmiulu	Uummannaq+MIU+LU
Uummannarmiumi	Uummannaq+MIU-mi
Uummannarmiumik	Uummannaq+MIU-mik
Uummannarmiumili	Uummannaq+MIU-mi+LI
Uummannarmiumilli	Uummannaq+MIU-mik+LI
Uummannarmiumillu	Uummannaq+MIU-mik+LU
Uummannarmiumilu	Uummannaq+MIU-mi+LU
Uummannarmiuussavorli	Uummannaq+MIU-U-SSA+vuq+LI
Uummannarmiuussavorlu	Uummannaq+MIU-U-SSA+vuq+LU
Uummannarmiuussavunga	Uummannaq+MIU-U-SSA+vuŋa
Uummannarmiuussavungali	Uummannaq+MIU-U-SSA+vuŋa+LI
Uummannarmiuussavungalu	Uummannaq+MIU-U-SSA+vuŋa+LU
Uummannarmiuuvoq	Uummannaq+MIU-U+vuq
Uummannarmiuuvorli	Uummannaq+MIU-U+vuq+LI
Uummannarmiuuvorlu	Uummannaq+MIU-U+vuq+LU
Uummannarmiuuvunga	Uummannaq+MIU-U+vuŋa
Uummannarmiuuvungali	Uummannaq+MIU-U+vuŋa+LI
Uummannarmiuuvungalu	Uummannaq+MIU-U+vuŋa+LU
aamma	aamma
aammali	aamma+LI
aammalu	aamma+LU
akisooq	akisooq
akisoorli	akisooq+LI
akisoorlu	akisooq+LU
akisuujussavoq	akisooq-U-SSA+vuq
akisuujussavorli	akisooq-U-SSA+vuq+LI
akisuujussavorlu	akisooq-U-SSA+vuq+LU
akisuujussavunga	akisooq-U-SSA+vuŋa
akisuujussavungali	akisooq-U-SSA+vuŋa+LI
akisuujussavungalu	akisooq-U-SSA+vuŋa+LU
akisuujuvoq	akisooq-U+vuq
akisuujuvorli	akisooq-U+vuq+LI
akisuujuvorlu	akisooq-U+vuq+LU
akisuujuvunga	akisooq-U+vuŋa
akisuujuvungali	akisooq-U+vuŋa+LI
akisuujuvungalu	akisooq-U+vuŋa+LU
akisuumi	akisooq-mi
akisuumik	akisooq-mik
akisuumili	akisooq-mi+LI
akisuumilli	akisooq-mik+LI
akisuumillu	akisooq-mik+LU
akisuumilu	akisooq-mi+LU
ateq	ateq
ateqarpoq	ateq-QAR+vuq
ateqarporli	ateq-QAR+vuq+LI
ateqarporlu	ateq-QAR+vuq+LU
ateqarpunga	ateq-QAR+vuŋa
ateqarpungali	ateq-QAR+vuŋa+LI
ateqarpungalu	ateq-QAR+vuŋa+LU
ateqassavoq	ateq-QAR-SSA+vuq
ateqassavorli	ateq-QAR-SSA+vuq+LI
ateqassavorlu	ateq-QAR-SSA+vuq+LU
ateqassavunga	ateq-QAR-SSA+vuŋa
ateqassavungali	ateq-QAR-SSA+vuŋa+LI
ateqassavungalu	ateq-QAR-SSA+vuŋa+LU
atera	ateq+ga
aterali	ateq+ga+LI
ateralu	ateq+ga+LU
aterli	ateq+LI
aterlu	ateq+LU
atermi	ateq+mi
atermik	ateq+mik
atermili	ateq+mi+LI
atermilli	ateq+mik+LI
atermilu	ateq+mi+LU
atiussavoq	ateq-U-SSA+vuq
atiussavorli	ateq-U-SSA+vuq+LI
atiussavorlu	ateq-U-SSA+vuq+LU
atiuvoq	ateq-U+vuq
atiuvorli	ateq-U+vuq+LI
atiuvorlu	ateq-U+vuq+LU
ilinniartippassi	ilinniartip+vassi
ilinniartippassili	ilinniartip+vassi+LI
ilinniartippassilu	ilinniartip+vassi+LU
ilinniartissavassi	ilinniartip-SSA+vassi
ilinniartissavassili	ilinniartip-SSA+vassi+LI
ilinniartissavassilu	ilinniartip-SSA+vassi+LU
illoqarpoq	illu-QAR+vuq
illoqarporli	illu-QAR+vuq+LI
illoqarporlu	illu-QAR+vuq+LU
illoqarpunga	illu-QAR+vuŋa
illoqarpungali	illu-QAR+vuŋa+LI
illoqarpungalu	illu-QAR+vuŋa+LU
illoqassavoq	illu-QAR-SSA+vuq
illoqassavorli	illu-QAR-SSA+vuq+LI
illoqassavorlu	illu-QAR-SSA+vuq+LU
illoqassavunga	illu-QAR-SSA+vuŋa
illoqassavungali	illu-QAR-SSA+vuŋa+LI
illoqassavungalu	illu-QAR-SSA+vuŋa+LU
illu	illu
illuga	illu+ga
illugali	illu+ga+LI
illugalu	illu+ga+LU
illuli	illu+LI
illulu	illu+LU
illumi	illu-mi
illumik	illu-mik
illumili	illu-mi+LI
illumilli	illu-mik+LI
illumillu	illu-mik+LU
illumioqarpoq	illu+MIU-QAR+vuq
illumioqarporli	illu+MIU-QAR+vuq+LI
illumioqarporlu	illu+MIU-QAR+vuq+LU
illumioqassavoq	illu+MIU-QAR-SSA+vuq
illumioqassavorli	illu+MIU-QAR-SSA+vuq+LI
illumioqassavorlu	illu+MIU-QAR-SSA+vuq+LU
illumiu	illu+MIU
illumiuli	illu+MIU+LI
illumiumi	illu+MIU-mi
illumiumik	illu+MIU-mik
illumiumili	illu+MIU-mi+LI
illumiumillu	illu+MIU-mik+LU
illuussavoq	illu-U-SSA+vuq
illuussavorli	illu-U-SSA+vuq+LI
illuuvoq	illu-U+vuq
illuuvorli	illu-U+vuq+LI
illuuvorlu	illu-U+vuq+LU
kalaaleq	kalaaleq
kalaaleqarpoq	kalaaleq-QAR+vuq
kalaaleqarporli	kalaaleq-QAR+vuq+LI
kalaaleqarporlu	kalaaleq-QAR+vuq+LU
kalaaleqassavoq	kalaaleq-QAR-SSA+vuq
kalaaleqassavorli	kalaaleq-QAR-SSA+vuq+LI
kalaaleqassavorlu	kalaaleq-QAR-SSA+vuq+LU
kalaalerli	kalaaleq+LI
kalaalerlu	kalaaleq+LU
kalaaliussavoq	kalaaleq-U-SSA+vuq
kalaaliussavorli	kalaaleq-U-SSA+vuq+LI
kalaaliussavorlu	kalaaleq-U-SSA+vuq+LU
kalaaliussavunga	kalaaleq-U-SSA+vuŋa
kalaaliussavungali	kalaaleq-U-SSA+vuŋa+LI
kalaaliussavungalu	kalaaleq-U-SSA+vuŋa+LU
kalaaliuvoq	kalaaleq-U+vuq
kalaaliuvorli	kalaaleq-U+vuq+LI
kalaaliuvorlu	kalaaleq-U+vuq+LU
kalaaliuvunga	kalaaleq-U+vuŋa
kalaaliuvungali	kalaaleq-U+vuŋa+LI
kalaaliuvungalu	kalaaleq-U+vuŋa+LU
kalaallimi	kalaaleq-mi
kalaallimik	kalaaleq-mik
kalaallimili	kalaaleq-mi+LI
kalaallimilli	kalaaleq-mik+LI
kalaallimillu	kalaaleq-mik+LU
kalaallimilu	kalaaleq-mi+LU
kalaallisulli	kalaallisut+LI
kalaallisullu	kalaallisut+LU
kalaallisut	kalaallisut
najugaavoq	najugaq-U+vuq
najugaavorli	najugaq-U+vuq+LI
najugaavorlu	najugaq-U+vuq+LU
najugaq	najugaq
najugaqarpoq	najugaq-QAR+vuq
najugaqarporli	najugaq-QAR+vuq+LI
najugaqarporlu	najugaq-QAR+vuq+LU
najugaqarpunga	najugaq-QAR+vuŋa
najugaqarpungali	najugaq-QAR+vuŋa+LI
najugaqarpungalu	najugaq-QAR+vuŋa+LU
najugaqassavoq	najugaq-QAR-SSA+vuq
najugaqassavorli	najugaq-QAR-SSA+vuq+LI
najugaqassavorlu	najugaq-QAR-SSA+vuq+LU
najugaqassavunga	najugaq-QAR-SSA+vuŋa
najugaqassavungali	najugaq-QAR-SSA+vuŋa+LI
najugaqassavungalu	najugaq-QAR-SSA+vuŋa+LU
najugara	najugaq+ga
najugarali	najugaq+ga+LI
najugaralu	najugaq+ga+LU
najugarli	najugaq+LI
najugarlu	najugaq+LU
najukkami	najugaq-mi
najukkamik	najugaq-mik
najukkamili	najugaq-mi+LI
najukkamilli	najugaq-mik+LI
najukkamillu	najugaq-mik+LU
najukkamilu	najugaq-mi+LU
nuliaassavoq	nuliaq-U-SSA+vuq
nuliaassavorlu	nuliaq-U-SSA+vuq+LU
nuliaassavunga	nuliaq-U-SSA+vuŋa
nuliaassavungali	nuliaq-U-SSA+vuŋa+LI
nuliaassavungalu	nuliaq-U-SSA+vuŋa+LU
nuliaavoq	nuliaq-U+vuq
nuliaavorli	nuliaq-U+vuq+LI
nuliaavorlu	nuliaq-U+vuq+LU
nuliaavunga	nuliaq-U+vuŋa
nuliaavungalu	nuliaq-U+vuŋa+LU
nuliami	nuliaq-mi
nuliamik	nuliaq-mik
nuliamili	nuliaq-mi+LI
nuliamilli	nuliaq-mik+LI
nuliamillu	nuliaq-mik+LU
nuliamilu	nuliaq-mi+LU
nuliaq	nuliaq
nuliaqarpoq	nuliaq-QAR+vuq
nuliaqarporli	nuliaq-QAR+vuq+LI
nuliaqarporlu	nuliaq-QAR+vuq+LU
nuliaqarpunga	nuliaq-QAR+vuŋa
nuliaqarpungali	nuliaq-QAR+vuŋa+LI
nuliaqarpungalu	nuliaq-QAR+vuŋa+LU
nuliaqassavoq	nuliaq-QAR-SSA+vuq
nuliaqassavorli	nuliaq-QAR-SSA+vuq+LI
nuliaqassavorlu	nuliaq-QAR-SSA+vuq+LU
nuliaqassavunga	nuliaq-QAR-SSA+vuŋa
nuliaqassavungali	nuliaq-QAR-SSA+vuŋa+LI
nuliaqassavungalu	nuliaq-QAR-SSA+vuŋa+LU
nuliara	nuliaq+ga
nuliarali	nuliaq+ga+LI
nuliaralu	nuliaq+ga+LU
nuliarli	nuliaq+LI
nuliarlu	nuliaq+LU
qallunaajussavoq	qallunaaq-U-SSA+vuq
qallunaajussavorli	qallunaaq-U-SSA+vuq+LI
qallunaajussavunga	qallunaaq-U-SSA+vuŋa
qallunaajussavungali	qallunaaq-U-SSA+vuŋa+LI
qallunaajussavungalu	qallunaaq-U-SSA+vuŋa+LU
qallunaajuvoq	qallunaaq-U+vuq
qallunaajuvorli	qallunaaq-U+vuq+LI
qallunaajuvorlu	qallunaaq-U+vuq+LU
qallunaajuvunga	qallunaaq-U+vuŋa
qallunaajuvungali	qallunaaq-U+vuŋa+LI
qallunaajuvungalu	qallunaaq-U+vuŋa+LU
qallunaami	qallunaaq-mi
qallunaamik	qallunaaq-mik
qallunaamili	qallunaaq-mi+LI
qallunaamilli	qallunaaq-mik+LI
qallunaamillu	qallunaaq-mik+LU
qallunaamilu	qallunaaq-mi+LU
qallunaaq	qallunaaq
qallunaaqarpoq	qallunaaq-QAR+vuq
qallunaaqarporli	qallunaaq-QAR+vuq+LI
qallunaaqarporlu	qallunaaq-QAR+vuq+LU
qallunaaqassavoq	qallunaaq-QAR-SSA+vuq
qallunaaqassavorli	qallunaaq-QAR-SSA+vuq+LI
qallunaaqassavorlu	qallunaaq-QAR-SSA+vuq+LU
qallunaarli	qallunaaq+LI
qallunaarlu	qallunaaq+LU
sulissavoq	suli-SSA+vuq
sulissavorli	suli-SSA+vuq+LI
sulissavorlu	suli-SSA+vuq+LU
sulissavunga	suli-SSA+vuŋa
sulissavungali	suli-SSA+vuŋa+LI
sulissavungalu	suli-SSA+vuŋa+LU
sulivoq	suli+vuq
sulivorli	suli+vuq+LI
sulivorlu	suli+vuq+LU
sulivunga	suli+vuŋa
sulivungali	suli+vuŋa+LI
sulivungalu	suli+vuŋa+LU
taanna	taanna
taannali	taanna+LI
taannalu	taanna+LU
uanga	uanga
uangali	uanga+LI
uangalu	uanga+LU
